Timestamp,World Population,Births Today,Deaths Today,Net Growth Today,Births This Year,Deaths This Year,Net Growth This Year
2025-07-31 00:30:18,"8,237,703,640","7,634","3,597","4,037","76,549,791","36,070,620","40,479,171"
2025-07-31 00:35:19,N/A,"8,898","4,193","4,705","76,551,055","36,071,216","40,479,839"
2025-07-31 00:40:16,N/A,"10,148","4,782","5,366","76,552,305","36,071,805","40,480,500"
2025-07-31 00:45:14,N/A,"11,398","5,371","6,027","76,553,555","36,072,394","40,481,161"
2025-07-31 00:50:14,N/A,"12,656","5,964","6,692","76,554,813","36,072,987","40,481,827"
2025-07-31 00:55:15,"8,237,706,959","13,919","6,559","7,361","76,556,077","36,073,582","40,482,495"
2025-07-31 10:25:19,N/A,"157,529","74,228","83,300","76,699,686","36,141,252","40,558,435"
2025-07-31 10:30:19,N/A,"158,789","74,822","83,967","76,700,946","36,141,845","40,559,101"
2025-07-31 10:40:14,"8,237,784,885","161,286","75,999","85,287","76,703,443","36,143,022","40,560,422"
2025-07-31 10:45:13,N/A,"162,544","76,592","85,952","76,704,702","36,143,615","40,561,087"
2025-07-31 10:50:13,"8,237,786,217","163,804","77,185","86,619","76,705,961","36,144,208","40,561,754"
2025-07-31 10:55:16,N/A,"165,073","77,783","87,290","76,707,230","36,144,806","40,562,424"
2025-07-31 11:00:15,N/A,"166,330","78,376","87,954","76,708,488","36,145,399","40,563,089"
2025-07-31 11:05:14,"8,237,788,215","167,583","78,966","88,618","76,709,741","36,145,989","40,563,752"
2025-07-31 11:10:20,N/A,"168,868","79,571","89,296","76,711,026","36,146,595","40,564,431"
2025-07-31 11:50:19,N/A,"178,941","84,318","94,623","76,721,098","36,151,341","40,569,757"
2025-07-31 12:25:14,N/A,"187,739","88,464","99,276","76,729,898","36,155,488","40,574,411"
2025-07-31 12:30:17,"8,237,799,545","189,010","89,062","99,948","76,731,167","36,156,085","40,575,082"
2025-07-31 12:40:14,"8,237,800,870","191,515","90,243","101,273","76,733,673","36,157,266","40,576,407"
2025-07-31 12:45:16,"8,237,801,541","192,784","90,841","101,943","76,734,941","36,157,864","40,577,078"
2025-07-31 12:50:15,N/A,"194,041","91,433","102,608","76,736,198","36,158,456","40,577,743"
2025-07-31 12:55:18,N/A,"195,312","92,032","103,280","76,737,470","36,159,055","40,578,414"
2025-07-31 13:45:16,N/A,"207,900","97,964","109,937","76,750,058","36,164,987","40,585,071"
2025-07-31 16:05:14,"8,237,828,179","243,158","114,577","128,581","76,785,315","36,181,600","40,603,715"
2025-07-31 16:10:12,"8,237,828,841","244,411","115,168","129,243","76,786,569","36,182,191","40,604,378"
2025-07-31 16:20:12,"8,237,830,173","246,930","116,355","130,575","76,789,087","36,183,378","40,605,709"
2025-07-31 16:25:12,"8,237,830,840","248,190","116,948","131,242","76,790,347","36,183,972","40,606,376"
2025-07-31 16:30:12,"8,237,831,506","249,450","117,542","131,908","76,791,607","36,184,565","40,607,042"
2025-07-31 16:45:12,"8,237,833,504","253,229","119,323","133,906","76,795,386","36,186,346","40,609,041"
2025-07-31 16:50:12,N/A,"254,490","119,917","134,573","76,796,647","36,186,940","40,609,707"
2025-07-31 16:55:15,N/A,"255,760","120,515","135,245","76,797,917","36,187,538","40,610,379"
